ConcatUF+Mun;IBGE;IBGE7;UF;Município;Região;População 2010;Porte;Capital;
RSIjuí;431020;4310207;RS;Ijuí;Região Sul;78915;Médio;;
RSIlópolis;431030;4310306;RS;Ilópolis;Região Sul;4102;Pequeno I;;
RSImbé;431033;4310330;RS;Imbé;Região Sul;17670;Pequeno I;;
RSImigrante;431036;4310363;RS;Imigrante;Região Sul;3023;Pequeno I;;
RSIndependência;431040;4310405;RS;Independência;Região Sul;6618;Pequeno I;;
RSInhacorá;431041;4310413;RS;Inhacorá;Região Sul;2267;Pequeno I;;
RSIpê;431043;4310439;RS;Ipê;Região Sul;6016;Pequeno I;;
RSIpiranga do Sul;431046;4310462;RS;Ipiranga do Sul;Região Sul;1944;Pequeno I;;
RSIraí;431050;4310504;RS;Iraí;Região Sul;8078;Pequeno I;;
RSItaara;431053;4310538;RS;Itaara;Região Sul;5010;Pequeno I;;
RSItacurubi;431055;4310553;RS;Itacurubi;Região Sul;3441;Pequeno I;;
RSItapuca;431057;4310579;RS;Itapuca;Região Sul;2344;Pequeno I;;
RSItaqui;431060;4310603;RS;Itaqui;Região Sul;38159;Pequeno II;;
RSItati;431065;4310652;RS;Itati;Região Sul;2584;Pequeno I;;
RSItatiba do Sul;431070;4310702;RS;Itatiba do Sul;Região Sul;4171;Pequeno I;;
RSIvorá;431075;4310751;RS;Ivorá;Região Sul;2156;Pequeno I;;
RSIvoti;431080;4310801;RS;Ivoti;Região Sul;19874;Pequeno I;;
RSJaboticaba;431085;4310850;RS;Jaboticaba;Região Sul;4098;Pequeno I;;
RSJacuizinho;431087;4310876;RS;Jacuizinho;Região Sul;2507;Pequeno I;;
RSJacutinga;431090;4310900;RS;Jacutinga;Região Sul;3633;Pequeno I;;
RSJaguarão;431100;4311007;RS;Jaguarão;Região Sul;27931;Pequeno II;;
RSJaguari;431110;4311106;RS;Jaguari;Região Sul;11473;Pequeno I;;
RSJaquirana;431112;4311122;RS;Jaquirana;Região Sul;4177;Pequeno I;;
RSJari;431113;4311130;RS;Jari;Região Sul;3575;Pequeno I;;
RSJóia;431115;4311155;RS;Jóia;Região Sul;8331;Pequeno I;;
RSJúlio de Castilhos;431120;4311205;RS;Júlio de Castilhos;Região Sul;19579;Pequeno I;;
RSLagoa Bonita do Sul;431123;4311239;RS;Lagoa Bonita do Sul;Região Sul;2662;Pequeno I;;
RSLagoão;431125;4311254;RS;Lagoão;Região Sul;6185;Pequeno I;;
RSLagoa Dos Três Cantos;431127;4311270;RS;Lagoa Dos Três Cantos;Região Sul;1598;Pequeno I;;
RSLagoa Vermelha;431130;4311304;RS;Lagoa Vermelha;Região Sul;27525;Pequeno II;;
RSLajeado;431140;4311403;RS;Lajeado;Região Sul;71445;Médio;;
RSLajeado do Bugre;431142;4311429;RS;Lajeado do Bugre;Região Sul;2487;Pequeno I;;
RSLavras do Sul;431150;4311502;RS;Lavras do Sul;Região Sul;7679;Pequeno I;;
RSLiberato Salzano;431160;4311601;RS;Liberato Salzano;Região Sul;5780;Pequeno I;;
RSLindolfo Collor;431162;4311627;RS;Lindolfo Collor;Região Sul;5227;Pequeno I;;
RSLinha Nova;431164;4311643;RS;Linha Nova;Região Sul;1624;Pequeno I;;
RSMachadinho;431170;4311700;RS;Machadinho;Região Sul;5510;Pequeno I;;
RSMaçambara;431171;4311718;RS;Maçambara;Região Sul;4738;Pequeno I;;
RSMampituba;431173;4311734;RS;Mampituba;Região Sul;3003;Pequeno I;;
RSManoel Viana;431175;4311759;RS;Manoel Viana;Região Sul;7072;Pequeno I;;
RSMaquiné;431177;4311775;RS;Maquiné;Região Sul;6905;Pequeno I;;
RSMaratá;431179;4311791;RS;Maratá;Região Sul;2527;Pequeno I;;
RSMarau;431180;4311809;RS;Marau;Região Sul;36364;Pequeno II;;
RSMarcelino Ramos;431190;4311908;RS;Marcelino Ramos;Região Sul;5134;Pequeno I;;
RSMariana Pimentel;431198;4311981;RS;Mariana Pimentel;Região Sul;3768;Pequeno I;;
RSMariano Moro;431200;4312005;RS;Mariano Moro;Região Sul;2210;Pequeno I;;
RSMarques de Souza;431205;4312054;RS;Marques de Souza;Região Sul;4068;Pequeno I;;
RSMata;431210;4312104;RS;Mata;Região Sul;5111;Pequeno I;;
RSMato Castelhano;431213;4312138;RS;Mato Castelhano;Região Sul;2470;Pequeno I;;
RSMato Leitão;431215;4312153;RS;Mato Leitão;Região Sul;3865;Pequeno I;;
RSMato Queimado;431217;4312179;RS;Mato Queimado;Região Sul;1799;Pequeno I;;
RSMaximiliano de Almeida;431220;4312203;RS;Maximiliano de Almeida;Região Sul;4911;Pequeno I;;
RSMinas do Leão;431225;4312252;RS;Minas do Leão;Região Sul;7631;Pequeno I;;
RSMiraguaí;431230;4312302;RS;Miraguaí;Região Sul;4855;Pequeno I;;
RSMontauri;431235;4312351;RS;Montauri;Região Sul;1542;Pequeno I;;
RSMonte Alegre Dos Campos;431237;4312377;RS;Monte Alegre Dos Campos;Região Sul;3102;Pequeno I;;
RSMonte Belo do Sul;431238;4312385;RS;Monte Belo do Sul;Região Sul;2670;Pequeno I;;
RSMontenegro;431240;4312401;RS;Montenegro;Região Sul;59415;Médio;;
RSMormaço;431242;4312427;RS;Mormaço;Região Sul;2749;Pequeno I;;
RSMorrinhos do Sul;431244;4312443;RS;Morrinhos do Sul;Região Sul;3182;Pequeno I;;
RSMorro Redondo;431245;4312450;RS;Morro Redondo;Região Sul;6227;Pequeno I;;
RSMorro Reuter;431247;4312476;RS;Morro Reuter;Região Sul;5676;Pequeno I;;
RSMostardas;431250;4312500;RS;Mostardas;Região Sul;12124;Pequeno I;;
RSMuçum;431260;4312609;RS;Muçum;Região Sul;4791;Pequeno I;;
RSMuitos Capões;431261;4312617;RS;Muitos Capões;Região Sul;2988;Pequeno I;;
RSMuliterno;431262;4312625;RS;Muliterno;Região Sul;1813;Pequeno I;;
RSNão-me-toque;431265;4312658;RS;Não-me-toque;Região Sul;15936;Pequeno I;;
RSNicolau Vergueiro;431267;4312674;RS;Nicolau Vergueiro;Região Sul;1721;Pequeno I;;
RSNonoai;431270;4312708;RS;Nonoai;Região Sul;12074;Pequeno I;;
RSNova Alvorada;431275;4312757;RS;Nova Alvorada;Região Sul;3182;Pequeno I;;
RSNova Araçá;431280;4312807;RS;Nova Araçá;Região Sul;4001;Pequeno I;;
RSNova Bassano;431290;4312906;RS;Nova Bassano;Região Sul;8840;Pequeno I;;
RSNova Boa Vista;431295;4312955;RS;Nova Boa Vista;Região Sul;1960;Pequeno I;;
RSNova Bréscia;431300;4313003;RS;Nova Bréscia;Região Sul;3184;Pequeno I;;
RSNova Candelária;431301;4313011;RS;Nova Candelária;Região Sul;2751;Pequeno I;;
RSNova Esperança do Sul;431303;4313037;RS;Nova Esperança do Sul;Região Sul;4671;Pequeno I;;
RSNova Hartz;431306;4313060;RS;Nova Hartz;Região Sul;18346;Pequeno I;;
RSNova Pádua;431308;4313086;RS;Nova Pádua;Região Sul;2450;Pequeno I;;
RSNova Palma;431310;4313102;RS;Nova Palma;Região Sul;6342;Pequeno I;;
RSNova Petrópolis;431320;4313201;RS;Nova Petrópolis;Região Sul;19045;Pequeno I;;
RSNova Prata;431330;4313300;RS;Nova Prata;Região Sul;22830;Pequeno II;;
RSNova Ramada;431333;4313334;RS;Nova Ramada;Região Sul;2437;Pequeno I;;
RSNova Roma do Sul;431335;4313359;RS;Nova Roma do Sul;Região Sul;3343;Pequeno I;;
RSNova Santa Rita;431337;4313375;RS;Nova Santa Rita;Região Sul;22716;Pequeno II;;
RSNovo Cabrais;431339;4313391;RS;Novo Cabrais;Região Sul;3855;Pequeno I;;
RSNovo Hamburgo;431340;4313409;RS;Novo Hamburgo;Região Sul;238940;Grande;;
RSNovo Machado;431342;4313425;RS;Novo Machado;Região Sul;3925;Pequeno I;;
RSNovo Tiradentes;431344;4313441;RS;Novo Tiradentes;Região Sul;2277;Pequeno I;;
RSNovo Xingu;431346;4313466;RS;Novo Xingu;Região Sul;1757;Pequeno I;;
RSNovo Barreiro;431349;4313490;RS;Novo Barreiro;Região Sul;3978;Pequeno I;;
RSOsório;431350;4313508;RS;Osório;Região Sul;40906;Pequeno II;;
RSPaim Filho;431360;4313607;RS;Paim Filho;Região Sul;4243;Pequeno I;;
RSPalmares do Sul;431365;4313656;RS;Palmares do Sul;Região Sul;10969;Pequeno I;;
RSPalmeira Das Missões;431370;4313706;RS;Palmeira Das Missões;Região Sul;34328;Pequeno II;;
RSPalmitinho;431380;4313805;RS;Palmitinho;Região Sul;6920;Pequeno I;;
RSPanambi;431390;4313904;RS;Panambi;Região Sul;38058;Pequeno II;;
RSPantano Grande;431395;4313953;RS;Pantano Grande;Região Sul;9895;Pequeno I;;
RSParaí;431400;4314001;RS;Paraí;Região Sul;6812;Pequeno I;;
RSParaíso do Sul;431402;4314027;RS;Paraíso do Sul;Região Sul;7336;Pequeno I;;
RSPareci Novo;431403;4314035;RS;Pareci Novo;Região Sul;3511;Pequeno I;;
RSParobé;431405;4314050;RS;Parobé;Região Sul;51502;Médio;;
RSPassa Sete;431406;4314068;RS;Passa Sete;Região Sul;5154;Pequeno I;;
RSPasso do Sobrado;431407;4314076;RS;Passo do Sobrado;Região Sul;6011;Pequeno I;;
RSPasso Fundo;431410;4314100;RS;Passo Fundo;Região Sul;184826;Grande;;
RSPaulo Bento;431413;4314134;RS;Paulo Bento;Região Sul;2196;Pequeno I;;
RSPaverama;431415;4314159;RS;Paverama;Região Sul;8044;Pequeno I;;
RSPedras Altas;431417;4314175;RS;Pedras Altas;Região Sul;2212;Pequeno I;;
RSPedro Osório;431420;4314209;RS;Pedro Osório;Região Sul;7811;Pequeno I;;
RSPejuçara;431430;4314308;RS;Pejuçara;Região Sul;3973;Pequeno I;;
RSPelotas;431440;4314407;RS;Pelotas;Região Sul;328275;Grande;;
RSPicada Café;431442;4314423;RS;Picada Café;Região Sul;5182;Pequeno I;;
RSPinhal;431445;4314456;RS;Pinhal;Região Sul;2513;Pequeno I;;
RSPinhal da Serra;431446;4314464;RS;Pinhal da Serra;Região Sul;2130;Pequeno I;;
RSPinhal Grande;431447;4314472;RS;Pinhal Grande;Região Sul;4471;Pequeno I;;
RSPinheirinho do Vale;431449;4314498;RS;Pinheirinho do Vale;Região Sul;4497;Pequeno I;;
RSPinheiro Machado;431450;4314506;RS;Pinheiro Machado;Região Sul;12780;Pequeno I;;
RSPinto Bandeira;431454;4314548;RS;Pinto Bandeira;Região Sul;;Pequeno I;;
RSPirapó;431455;4314555;RS;Pirapó;Região Sul;2757;Pequeno I;;
RSPiratini;431460;4314605;RS;Piratini;Região Sul;19841;Pequeno I;;
RSPlanalto;431470;4314704;RS;Planalto;Região Sul;10524;Pequeno I;;
RSPoço Das Antas;431475;4314753;RS;Poço Das Antas;Região Sul;2017;Pequeno I;;
RSPontão;431477;4314779;RS;Pontão;Região Sul;3857;Pequeno I;;
RSPonte Preta;431478;4314787;RS;Ponte Preta;Região Sul;1750;Pequeno I;;
RSPortão;431480;4314803;RS;Portão;Região Sul;30920;Pequeno II;;
RSPorto Alegre;431490;4314902;RS;Porto Alegre;Região Sul;1409351;Metrópole;Capital;
RSPorto Lucena;431500;4315008;RS;Porto Lucena;Região Sul;5413;Pequeno I;;
RSPorto Mauá;431505;4315057;RS;Porto Mauá;Região Sul;2542;Pequeno I;;
RSPorto Vera Cruz;431507;4315073;RS;Porto Vera Cruz;Região Sul;1852;Pequeno I;;
RSPorto Xavier;431510;4315107;RS;Porto Xavier;Região Sul;10558;Pequeno I;;
RSPouso Novo;431513;4315131;RS;Pouso Novo;Região Sul;1875;Pequeno I;;
RSPresidente Lucena;431514;4315149;RS;Presidente Lucena;Região Sul;2484;Pequeno I;;
RSProgresso;431515;4315156;RS;Progresso;Região Sul;6163;Pequeno I;;
RSProtásio Alves;431517;4315172;RS;Protásio Alves;Região Sul;2000;Pequeno I;;
RSPutinga;431520;4315206;RS;Putinga;Região Sul;4141;Pequeno I;;
RSQuaraí;431530;4315305;RS;Quaraí;Região Sul;23021;Pequeno II;;
RSQuatro Irmãos;431531;4315313;RS;Quatro Irmãos;Região Sul;1775;Pequeno I;;
RSQuevedos;431532;4315321;RS;Quevedos;Região Sul;2710;Pequeno I;;
RSQuinze de Novembro;431535;4315354;RS;Quinze de Novembro;Região Sul;3653;Pequeno I;;
RSRedentora;431540;4315404;RS;Redentora;Região Sul;10222;Pequeno I;;
RSRelvado;431545;4315453;RS;Relvado;Região Sul;2155;Pequeno I;;
RSRestinga Seca;431550;4315503;RS;Restinga Seca;Região Sul;15849;Pequeno I;;
RSRio Dos Índios;431555;4315552;RS;Rio Dos Índios;Região Sul;3616;Pequeno I;;
RSRio Grande;431560;4315602;RS;Rio Grande;Região Sul;197228;Grande;;
RSRio Pardo;431570;4315701;RS;Rio Pardo;Região Sul;37591;Pequeno II;;
RSRiozinho;431575;4315750;RS;Riozinho;Região Sul;4330;Pequeno I;;
RSRoca Sales;431580;4315800;RS;Roca Sales;Região Sul;10284;Pequeno I;;
RSRodeio Bonito;431590;4315909;RS;Rodeio Bonito;Região Sul;5743;Pequeno I;;
RSRolador;431595;4315958;RS;Rolador;Região Sul;2546;Pequeno I;;
RSRolante;431600;4316006;RS;Rolante;Região Sul;19485;Pequeno I;;
RSRonda Alta;431610;4316105;RS;Ronda Alta;Região Sul;10221;Pequeno I;;
RSRondinha;431620;4316204;RS;Rondinha;Região Sul;5518;Pequeno I;;
RSRoque Gonzales;431630;4316303;RS;Roque Gonzales;Região Sul;7203;Pequeno I;;
RSRosário do Sul;431640;4316402;RS;Rosário do Sul;Região Sul;39707;Pequeno II;;
RSSagrada Família;431642;4316428;RS;Sagrada Família;Região Sul;2595;Pequeno I;;
RSSaldanha Marinho;431643;4316436;RS;Saldanha Marinho;Região Sul;2869;Pequeno I;;
RSSalto do Jacuí;431645;4316451;RS;Salto do Jacuí;Região Sul;11880;Pequeno I;;
RSSalvador Das Missões;431647;4316477;RS;Salvador Das Missões;Região Sul;2669;Pequeno I;;
RSSalvador do Sul;431650;4316501;RS;Salvador do Sul;Região Sul;6747;Pequeno I;;
RSSananduva;431660;4316600;RS;Sananduva;Região Sul;15373;Pequeno I;;
RSSanta Bárbara do Sul;431670;4316709;RS;Santa Bárbara do Sul;Região Sul;8829;Pequeno I;;
RSSanta Cecília do Sul;431673;4316733;RS;Santa Cecília do Sul;Região Sul;1655;Pequeno I;;
RSSanta Clara do Sul;431675;4316758;RS;Santa Clara do Sul;Região Sul;5697;Pequeno I;;
RSSanta Cruz do Sul;431680;4316808;RS;Santa Cruz do Sul;Região Sul;118374;Grande;;
RSSanta Maria;431690;4316907;RS;Santa Maria;Região Sul;261031;Grande;;
RSSanta Maria do Herval;431695;4316956;RS;Santa Maria do Herval;Região Sul;6053;Pequeno I;;
RSSanta Margarida do Sul;431697;4316972;RS;Santa Margarida do Sul;Região Sul;2352;Pequeno I;;
RSSantana da Boa Vista;431700;4317004;RS;Santana da Boa Vista;Região Sul;8242;Pequeno I;;
RSSantana do Livramento;431710;4317103;RS;Santana do Livramento;Região Sul;82464;Médio;;
RSSanta Rosa;431720;4317202;RS;Santa Rosa;Região Sul;68587;Médio;;
RSSanta Tereza;431725;4317251;RS;Santa Tereza;Região Sul;1720;Pequeno I;;
RSSanta Vitória do Palmar;431730;4317301;RS;Santa Vitória do Palmar;Região Sul;30990;Pequeno II;;
RSSantiago;431740;4317400;RS;Santiago;Região Sul;49071;Pequeno II;;
RSSanto Ângelo;431750;4317509;RS;Santo Ângelo;Região Sul;76275;Médio;;
RSSanto Antônio do Palma;431755;4317558;RS;Santo Antônio do Palma;Região Sul;2139;Pequeno I;;
RSSanto Antônio da Patrulha;431760;4317608;RS;Santo Antônio da Patrulha;Região Sul;39685;Pequeno II;;
RSSanto Antônio Das Missões;431770;4317707;RS;Santo Antônio Das Missões;Região Sul;11210;Pequeno I;;
RSSanto Antônio do Planalto;431775;4317756;RS;Santo Antônio do Planalto;Região Sul;1987;Pequeno I;;
RSSanto Augusto;431780;4317806;RS;Santo Augusto;Região Sul;13968;Pequeno I;;
RSSanto Cristo;431790;4317905;RS;Santo Cristo;Região Sul;14378;Pequeno I;;
RSSanto Expedito do Sul;431795;4317954;RS;Santo Expedito do Sul;Região Sul;2461;Pequeno I;;
RSSão Borja;431800;4318002;RS;São Borja;Região Sul;61671;Médio;;
RSSão Domingos do Sul;431805;4318051;RS;São Domingos do Sul;Região Sul;2926;Pequeno I;;
RSSão Francisco de Assis;431810;4318101;RS;São Francisco de Assis;Região Sul;19254;Pequeno I;;
RSSão Francisco de Paula;431820;4318200;RS;São Francisco de Paula;Região Sul;20537;Pequeno II;;
RSSão Gabriel;431830;4318309;RS;São Gabriel;Região Sul;60425;Médio;;
RSSão Jerônimo;431840;4318408;RS;São Jerônimo;Região Sul;22134;Pequeno II;;
RSSão João da Urtiga;431842;4318424;RS;São João da Urtiga;Região Sul;4726;Pequeno I;;
RSSão João do Polêsine;431843;4318432;RS;São João do Polêsine;Região Sul;2635;Pequeno I;;
RSSão Jorge;431844;4318440;RS;São Jorge;Região Sul;2774;Pequeno I;;
RSSão José Das Missões;431845;4318457;RS;São José Das Missões;Região Sul;2720;Pequeno I;;
RSSão José do Herval;431846;4318465;RS;São José do Herval;Região Sul;2204;Pequeno I;;
RSSão José do Hortêncio;431848;4318481;RS;São José do Hortêncio;Região Sul;4094;Pequeno I;;
RSSão José do Inhacorá;431849;4318499;RS;São José do Inhacorá;Região Sul;2200;Pequeno I;;
RSSão José do Norte;431850;4318507;RS;São José do Norte;Região Sul;25503;Pequeno II;;
RSSão José do Ouro;431860;4318606;RS;São José do Ouro;Região Sul;6904;Pequeno I;;
RSSão José do Sul;431861;4318614;RS;São José do Sul;Região Sul;2082;Pequeno I;;
RSSão José Dos Ausentes;431862;4318622;RS;São José Dos Ausentes;Região Sul;3290;Pequeno I;;
RSSão Leopoldo;431870;4318705;RS;São Leopoldo;Região Sul;214087;Grande;;
RSSão Lourenço do Sul;431880;4318804;RS;São Lourenço do Sul;Região Sul;43111;Pequeno II;;
RSSão Luiz Gonzaga;431890;4318903;RS;São Luiz Gonzaga;Região Sul;34556;Pequeno II;;
RSSão Marcos;431900;4319000;RS;São Marcos;Região Sul;20103;Pequeno II;;
RSSão Martinho;431910;4319109;RS;São Martinho;Região Sul;5773;Pequeno I;;
RSSão Martinho da Serra;431912;4319125;RS;São Martinho da Serra;Região Sul;3201;Pequeno I;;
RSSão Miguel Das Missões;431915;4319158;RS;São Miguel Das Missões;Região Sul;7421;Pequeno I;;
RSSão Nicolau;431920;4319208;RS;São Nicolau;Região Sul;5727;Pequeno I;;
RSSão Paulo Das Missões;431930;4319307;RS;São Paulo Das Missões;Região Sul;6364;Pequeno I;;
RSSão Pedro da Serra;431935;4319356;RS;São Pedro da Serra;Região Sul;3315;Pequeno I;;
RSSão Pedro Das Missões;431936;4319364;RS;São Pedro Das Missões;Região Sul;1886;Pequeno I;;
RSSão Pedro do Butiá;431937;4319372;RS;São Pedro do Butiá;Região Sul;2873;Pequeno I;;
RSSão Pedro do Sul;431940;4319406;RS;São Pedro do Sul;Região Sul;16368;Pequeno I;;
RSSão Sebastião do Caí;431950;4319505;RS;São Sebastião do Caí;Região Sul;21932;Pequeno II;;
RSSão Sepé;431960;4319604;RS;São Sepé;Região Sul;23798;Pequeno II;;
RSSão Valentim;431970;4319703;RS;São Valentim;Região Sul;3632;Pequeno I;;
RSSão Valentim do Sul;431971;4319711;RS;São Valentim do Sul;Região Sul;2168;Pequeno I;;
RSSão Valério do Sul;431973;4319737;RS;São Valério do Sul;Região Sul;2647;Pequeno I;;
RSSão Vendelino;431975;4319752;RS;São Vendelino;Região Sul;1944;Pequeno I;;
RSSão Vicente do Sul;431980;4319802;RS;São Vicente do Sul;Região Sul;8440;Pequeno I;;
RSSapiranga;431990;4319901;RS;Sapiranga;Região Sul;74985;Médio;;
RSSapucaia do Sul;432000;4320008;RS;Sapucaia do Sul;Região Sul;130957;Grande;;
RSSarandi;432010;4320107;RS;Sarandi;Região Sul;21285;Pequeno II;;
RSSeberi;432020;4320206;RS;Seberi;Região Sul;10897;Pequeno I;;
RSSede Nova;432023;4320230;RS;Sede Nova;Região Sul;3011;Pequeno I;;
RSSegredo;432026;4320263;RS;Segredo;Região Sul;7158;Pequeno I;;
RSSelbach;432030;4320305;RS;Selbach;Região Sul;4929;Pequeno I;;
RSSenador Salgado Filho;432032;4320321;RS;Senador Salgado Filho;Região Sul;2814;Pequeno I;;
RSSentinela do Sul;432035;4320354;RS;Sentinela do Sul;Região Sul;5198;Pequeno I;;
RSSerafina Corrêa;432040;4320404;RS;Serafina Corrêa;Região Sul;14253;Pequeno I;;
RSSério;432045;4320453;RS;Sério;Região Sul;2281;Pequeno I;;
RSSertão;432050;4320503;RS;Sertão;Região Sul;6294;Pequeno I;;
RSSertão Santana;432055;4320552;RS;Sertão Santana;Região Sul;5850;Pequeno I;;
RSSete de Setembro;432057;4320578;RS;Sete de Setembro;Região Sul;2124;Pequeno I;;
RSSeveriano de Almeida;432060;4320602;RS;Severiano de Almeida;Região Sul;3842;Pequeno I;;
RSSilveira Martins;432065;4320651;RS;Silveira Martins;Região Sul;2449;Pequeno I;;
RSSinimbu;432067;4320677;RS;Sinimbu;Região Sul;10068;Pequeno I;;
RSSobradinho;432070;4320701;RS;Sobradinho;Região Sul;14283;Pequeno I;;
RSSoledade;432080;4320800;RS;Soledade;Região Sul;30044;Pequeno II;;
RSTabaí;432085;4320859;RS;Tabaí;Região Sul;4131;Pequeno I;;
RSTapejara;432090;4320909;RS;Tapejara;Região Sul;19250;Pequeno I;;
RSTapera;432100;4321006;RS;Tapera;Região Sul;10448;Pequeno I;;
RSTapes;432110;4321105;RS;Tapes;Região Sul;16629;Pequeno I;;
RSTaquara;432120;4321204;RS;Taquara;Região Sul;54643;Médio;;
RSTaquari;432130;4321303;RS;Taquari;Região Sul;26092;Pequeno II;;
RSTaquaruçu do Sul;432132;4321329;RS;Taquaruçu do Sul;Região Sul;2966;Pequeno I;;
RSTavares;432135;4321352;RS;Tavares;Região Sul;5351;Pequeno I;;
RSTenente Portela;432140;4321402;RS;Tenente Portela;Região Sul;13719;Pequeno I;;
RSTerra de Areia;432143;4321436;RS;Terra de Areia;Região Sul;9878;Pequeno I;;
RSTeutônia;432145;4321451;RS;Teutônia;Região Sul;27272;Pequeno II;;
RSTio Hugo;432146;4321469;RS;Tio Hugo;Região Sul;2724;Pequeno I;;
RSTiradentes do Sul;432147;4321477;RS;Tiradentes do Sul;Região Sul;6461;Pequeno I;;
RSToropi;432149;4321493;RS;Toropi;Região Sul;2952;Pequeno I;;
RSTorres;432150;4321501;RS;Torres;Região Sul;34656;Pequeno II;;
RSTramandaí;432160;4321600;RS;Tramandaí;Região Sul;41585;Pequeno II;;
RSTravesseiro;432162;4321626;RS;Travesseiro;Região Sul;2314;Pequeno I;;
RSTrês Arroios;432163;4321634;RS;Três Arroios;Região Sul;2855;Pequeno I;;
RSTrês Cachoeiras;432166;4321667;RS;Três Cachoeiras;Região Sul;10217;Pequeno I;;
RSTrês Coroas;432170;4321709;RS;Três Coroas;Região Sul;23848;Pequeno II;;
RSTrês de Maio;432180;4321808;RS;Três de Maio;Região Sul;23726;Pequeno II;;
RSTrês Forquilhas;432183;4321832;RS;Três Forquilhas;Região Sul;2914;Pequeno I;;
RSTrês Palmeiras;432185;4321857;RS;Três Palmeiras;Região Sul;4381;Pequeno I;;
RSTrês Passos;432190;4321907;RS;Três Passos;Região Sul;23965;Pequeno II;;
RSTrindade do Sul;432195;4321956;RS;Trindade do Sul;Região Sul;5787;Pequeno I;;
RSTriunfo;432200;4322004;RS;Triunfo;Região Sul;25793;Pequeno II;;
RSTucunduva;432210;4322103;RS;Tucunduva;Região Sul;5898;Pequeno I;;
RSTunas;432215;4322152;RS;Tunas;Região Sul;4395;Pequeno I;;
RSTupanci do Sul;432218;4322186;RS;Tupanci do Sul;Região Sul;1573;Pequeno I;;
RSTupanciretã;432220;4322202;RS;Tupanciretã;Região Sul;22281;Pequeno II;;
RSTupandi;432225;4322251;RS;Tupandi;Região Sul;3924;Pequeno I;;
RSTuparendi;432230;4322301;RS;Tuparendi;Região Sul;8557;Pequeno I;;
RSTuruçu;432232;4322327;RS;Turuçu;Região Sul;3522;Pequeno I;;
RSUbiretama;432234;4322343;RS;Ubiretama;Região Sul;2296;Pequeno I;;
RSUnião da Serra;432235;4322350;RS;União da Serra;Região Sul;1487;Pequeno I;;
RSUnistalda;432237;4322376;RS;Unistalda;Região Sul;2450;Pequeno I;;
RSUruguaiana;432240;4322400;RS;Uruguaiana;Região Sul;125435;Grande;;
RSVacaria;432250;4322509;RS;Vacaria;Região Sul;61342;Médio;;
RSVale Verde;432252;4322525;RS;Vale Verde;Região Sul;3253;Pequeno I;;
RSVale do Sol;432253;4322533;RS;Vale do Sol;Região Sul;11077;Pequeno I;;
RSVale Real;432254;4322541;RS;Vale Real;Região Sul;5118;Pequeno I;;
RSVanini;432255;4322558;RS;Vanini;Região Sul;1984;Pequeno I;;
RSVenâncio Aires;432260;4322608;RS;Venâncio Aires;Região Sul;65946;Médio;;
RSVera Cruz;432270;4322707;RS;Vera Cruz;Região Sul;23983;Pequeno II;;
RSVeranópolis;432280;4322806;RS;Veranópolis;Região Sul;22810;Pequeno II;;
RSVespasiano Correa;432285;4322855;RS;Vespasiano Correa;Região Sul;1974;Pequeno I;;
RSViadutos;432290;4322905;RS;Viadutos;Região Sul;5311;Pequeno I;;
RSViamão;432300;4323002;RS;Viamão;Região Sul;239384;Grande;;
RSVicente Dutra;432310;4323101;RS;Vicente Dutra;Região Sul;5285;Pequeno I;;
RSVictor Graeff;432320;4323200;RS;Victor Graeff;Região Sul;3036;Pequeno I;;
RSVila Flores;432330;4323309;RS;Vila Flores;Região Sul;3207;Pequeno I;;
RSVila Lângaro;432335;4323358;RS;Vila Lângaro;Região Sul;2152;Pequeno I;;
RSVila Maria;432340;4323408;RS;Vila Maria;Região Sul;4221;Pequeno I;;
RSVila Nova do Sul;432345;4323457;RS;Vila Nova do Sul;Região Sul;4221;Pequeno I;;
RSVista Alegre;432350;4323507;RS;Vista Alegre;Região Sul;2832;Pequeno I;;
RSVista Alegre do Prata;432360;4323606;RS;Vista Alegre do Prata;Região Sul;1569;Pequeno I;;
RSVista Gaúcha;432370;4323705;RS;Vista Gaúcha;Região Sul;2759;Pequeno I;;
RSVitória Das Missões;432375;4323754;RS;Vitória Das Missões;Região Sul;3485;Pequeno I;;
RSWestfalia;432377;4323770;RS;Westfalia;Região Sul;2793;Pequeno I;;
RSXangri-lá;432380;4323804;RS;Xangri-lá;Região Sul;12434;Pequeno I;;
MSÁgua Clara;500020;5000203;MS;Água Clara;Região Centro-Oeste;14424;Pequeno I;;
MSAlcinópolis;500025;5000252;MS;Alcinópolis;Região Centro-Oeste;4569;Pequeno I;;
MSAmambaí;500060;5000609;MS;Amambaí;Região Centro-Oeste;34730;Pequeno II;;
MSAnastácio;500070;5000708;MS;Anastácio;Região Centro-Oeste;23835;Pequeno II;;
MSAnaurilândia;500080;5000807;MS;Anaurilândia;Região Centro-Oeste;8493;Pequeno I;;
MSAngélica;500085;5000856;MS;Angélica;Região Centro-Oeste;9185;Pequeno I;;
MSAntônio João;500090;5000906;MS;Antônio João;Região Centro-Oeste;8208;Pequeno I;;
MSAparecida do Taboado;500100;5001003;MS;Aparecida do Taboado;Região Centro-Oeste;22320;Pequeno II;;
MSAquidauana;500110;5001102;MS;Aquidauana;Região Centro-Oeste;45614;Pequeno II;;
MSAral Moreira;500124;5001243;MS;Aral Moreira;Região Centro-Oeste;10251;Pequeno I;;
